43
50
1949
Year	Mnth	Day	Hr	dayl(s)	PRCP(mm/day)	PET(mm/day)	Flag
1945	10	2	12	35000	0	4.6004	-99999
1945	10	3	12	35000	0	4.3092	-99999
1945	10	4	12	35000	0	4.3286	-99999
1945	10	5	12	35000	0	4.7777	-99999
1945	10	6	12	35000	0	2.911	-99999
1945	10	7	12	35000	0	3.5714	-99999
1945	10	8	12	35000	1.3518	1.4499	-99999
1945	10	9	12	35000	0	4.6986	-99999
1945	10	10	12	35000	0	4.277	-99999
1945	10	11	12	35000	12.565	2.2313	-99999
1945	10	12	12	35000	23.646	0.6898	-99999
1945	10	13	12	35000	0	4.3483	-99999
1945	10	14	12	35000	0	4.2969	-99999
1945	10	15	12	35000	0	2.8019	-99999
1945	10	16	12	35000	0	3.4152	-99999
1945	10	17	12	35000	0	3.489	-99999
1945	10	18	12	35000	4.7483	1.3606	-99999
1945	10	19	12	35000	0	3.7	-99999
1945	10	20	12	35000	0	3.483	-99999
1945	10	21	12	35000	0	2.636	-99999
1945	10	22	12	35000	0	3.2378	-99999
1945	10	23	12	35000	0	2.5811	-99999
1945	10	24	12	35000	0	3.1544	-99999
1945	10	25	12	35000	0.5374	1.5535	-99999
1945	10	26	12	35000	0	1.7884	-99999
1945	10	27	12	35000	0	1.7984	-99999
1945	10	28	12	35000	0	2.7432	-99999
1945	10	29	12	35000	0	3.4122	-99999
1945	10	30	12	35000	0	3.4584	-99999
1945	10	31	12	35000	0	2.1924	-99999
1945	11	1	12	35000	1.6709	1.3136	-99999
1945	11	2	12	35000	7.0192	0.4878	-99999
1945	11	3	12	35000	1.1277	3.1253	-99999
1945	11	4	12	35000	0	0.8816	-99999
1945	11	5	12	35000	0	2.3354	-99999
1945	11	6	12	35000	28.671	1.0315	-99999
1945	11	7	12	35000	0.113	2.9212	-99999
1945	11	8	12	35000	0	2.4237	-99999
1945	11	9	12	35000	0	1.925	-99999
1945	11	10	12	35000	22.043	0.6348	-99999
1945	11	11	12	35000	0.0571	2.4984	-99999
1945	11	12	12	35000	0	1.4707	-99999
1945	11	13	12	35000	0.3167	1.2746	-99999
1945	11	14	12	35000	0.0107	0.9586	-99999
1945	11	15	12	35000	0	0.7844	-99999
1945	11	16	12	35000	0	1.3233	-99999
1945	11	17	12	35000	46.215	0.3135	-99999
1945	11	18	12	35000	0	1.4114	-99999
1945	11	19	12	35000	42.535	0.6293	-99999
1945	11	20	12	35000	15.052	2.1522	-99999
1945	11	21	12	35000	0	2.766	-99999
1945	11	22	12	35000	30.925	0.8546	-99999
1945	11	23	12	35000	3.4821	0.3615	-99999
1945	11	24	12	35000	8.7501	0.4088	-99999
1945	11	25	12	35000	0	1.843	-99999
1945	11	26	12	35000	0	2.2848	-99999
1945	11	27	12	35000	83.585	0.2455	-99999
1945	11	28	12	35000	17.526	0.2235	-99999
1945	11	29	12	35000	44.722	0.5125	-99999
1945	11	30	12	35000	0	1.389	-99999
1945	12	1	12	35000	0	1.5948	-99999
1945	12	2	12	35000	0	1.8275	-99999
1945	12	3	12	35000	0.7121	0.7921	-99999
1945	12	4	12	35000	1.0995	1.9269	-99999
1945	12	5	12	35000	0	0.8466	-99999
1945	12	6	12	35000	8.8485	0.8221	-99999
1945	12	7	12	35000	0	1.7861	-99999
1945	12	8	12	35000	8.6796	0.175	-99999
1945	12	9	12	35000	0	1.7624	-99999
1945	12	10	12	35000	0	2.0981	-99999
1945	12	11	12	35000	0	1.8024	-99999
1945	12	12	12	35000	0	1.6625	-99999
1945	12	13	12	35000	0	0.6521	-99999
1945	12	14	12	35000	0	0.2817	-99999
1945	12	15	12	35000	1.3435	0.4931	-99999
1945	12	16	12	35000	0.4773	1.024	-99999
1945	12	17	12	35000	23.142	0.2797	-99999
1945	12	18	12	35000	0.4285	0.4038	-99999
1945	12	19	12	35000	10.427	0.1272	-99999
1945	12	20	12	35000	0.8028	0.661	-99999
1945	12	21	12	35000	0	1.605	-99999
1945	12	22	12	35000	0	1.0438	-99999
1945	12	23	12	35000	0	0.8913	-99999
1945	12	24	12	35000	0	1.0882	-99999
1945	12	25	12	35000	2.6109	0.7357	-99999
1945	12	26	12	35000	18.758	0.5945	-99999
1945	12	27	12	35000	0	0.5893	-99999
1945	12	28	12	35000	0	0.8299	-99999
1945	12	29	12	35000	3.9206	0.8568	-99999
1945	12	30	12	35000	20.851	0.6943	-99999
1945	12	31	12	35000	0	1.1605	-99999
1946	1	1	12	35000	0	1.2924	-99999
1946	1	2	12	35000	0	1.063	-99999
1946	1	3	12	35000	0	0.8928	-99999
1946	1	4	12	35000	8.1165	0.6771	-99999
1946	1	5	12	35000	58.587	0.531	-99999
1946	1	6	12	35000	15.648	0.4638	-99999
1946	1	7	12	35000	0	1.2404	-99999
1946	1	8	12	35000	0	0.8715	-99999
1946	1	9	12	35000	0	1.3056	-99999
1946	1	10	12	35000	0	1.9125	-99999
1946	1	11	12	35000	0	2.1753	-99999
1946	1	12	12	35000	0	1.5181	-99999
1946	1	13	12	35000	0	0.7256	-99999
1946	1	14	12	35000	0.084	0.4653	-99999
1946	1	15	12	35000	0	0.7301	-99999
1946	1	16	12	35000	0	1.9628	-99999
1946	1	17	12	35000	3.8395	1.499	-99999
1946	1	18	12	35000	17.178	0.1655	-99999
1946	1	19	12	35000	18.173	0.8019	-99999
1946	1	20	12	35000	0	0.6614	-99999
1946	1	21	12	35000	3.4258	0.873	-99999
1946	1	22	12	35000	32.508	0.1723	-99999
1946	1	23	12	35000	12.2	0.1258	-99999
1946	1	24	12	35000	0.1408	0.9745	-99999
1946	1	25	12	35000	3.0871	1.1581	-99999
